,,,,Rougé-Maillart 2009,,,,,,,,,Buckberry and Chamberlain 2002,,,,,,,Lovejoy 1985,,Suchey-Brooks 1990,,Iscan 1984-1985,,Falys and Prangle 2015,,,,,Beauthier 2010,,,,,,Mann 1991
CIM,Age-at-death,ASAB,,ORGANIZZAZIONE TRASVERSA (1-7),SURFACE TEXTURE (1-5),POROSITà (1-5),ATTIVITà APICE (1-3),RIM (1-5),FOSSA (1-4),ATTIVITà APICE (1-3),SCORE,,ORGANIZZAZIONE TRASVERSA (1-5),SURFACE TEXTURE (1-5),MICROPOROSITà (1-3),MACROPOROSITà (1-3),ATTIVITà APICE (1-3),SCORE,,SCORE,,SCORE,,SCORE,,topography,porosity,osteophitic formation,SCORE,,IN,AMP,TP,PMP,cp,,GROUP
392,54,M,,4,5,3,2,5,2,3,24,,4,5,3,2,2,16,,7,,5,,,,3,2,2,7,,13,5,7,5,2.00,,2
393,59,M,,5,5,3,2,4,3,2,24,,5,5,3,1,2,16,,7,,,,,,3,2,2,7,,13,3,15,6,2.47,,3
395,76,M,,7,5,5,3,5,4,3,32,,5,5,3,3,3,19,,8,,6,,,,4,4,3,11,,,,,,,,
410,87,M,,7,5,5,3,5,2,3,30,,5,5,3,3,3,19,,8,,,,,,4,4,2,10,,,,,,,,
419,72,M,,,,,,,,,,,,,,,,,,,,6,,,,3,4,1,8,,,,,,,,
420,89,M,,6,5,4,3,5,4,3,30,,5,5,3,2,3,18,,8,,6,,,,5,4,2,11,,15,8,8,8,2.60,,3
424,95,M,,7,5,5,3,4,4,3,31,,5,5,3,3,3,19,,8,,,,,,6,6,3,15,,16,6,18,8,3.20,,4
435,68,M,,6,5,4,3,3,2,2,25,,5,5,3,2,3,18,,8,,6,,,,3,3,2,8,,16,8,6,7,2.47,,3
441,60,M,,6,5,4,2,4,2,3,26,,5,5,3,2,2,17,,7,,,,,,5,3,2,10,,16,9,21,7,3.53,,5
446,82,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,11,5,2.13,,2
447,49,M,,4,5,3,2,3,2,1,20,,4,5,3,1,2,15,,6,,,,,,3,2,2,7,,16,2,6,7,2.07,,3
450,86,M,,5,5,3,2,4,3,3,25,,5,5,3,2,2,16,,7,,5,,,,5,5,2,12,,16,5,9,8,2.53,,3
451,76,M,,6,5,4,3,5,2,3,28,,5,5,3,2,3,18,,8,,,,,,5,4,3,12,,15,5,21,8,3.27,,4
453,71,M,,7,5,5,3,5,3,3,31,,5,5,3,3,3,19,,8,,6,,,,4,4,2,10,,16,4,16,8,2.93,,3
456,71,M,,7,5,5,2,4,2,3,28,,5,5,3,3,2,18,,8,,,,,,4,3,3,10,,16,8,21,7,3.47,,4
457,91,M,,,,,,,,,,,,,,,,,,,,6,,,,5,4,3,12,,16,4,9,8,2.47,,3
466,78,M,,6,5,3,3,5,4,3,29,,5,5,3,1,3,17,,8,,6,,8,,5,5,3,13,,,,,,,,
475,24,M,,3,2,2,1,2,2,1,13,,3,2,2,1,1,9,,3,,3,,,,1,1,1,3,,12,1,0,0,0.87,,2
476,83,M,,6,5,5,3,5,3,3,30,,5,5,3,3,3,19,,8,,6,,7,,5,5,2,12,,15,6,10,8,2.60,,3
480,59,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,15,8,3.13,,3
